weapon,stage,frame_index,prompt,job_id,source_path,adopted_path,status,rejection_reason
"Hwando","blade_flight","seed","PixelLab seed prompt: blade_flight; Joseon folk-fantasy pixel art VFX; transparent; crisp hard pixels; one isolated centered asset; high top-down mobile readability","1a9c3755-15f9-4d23-8146-3a22ab040cd1","https://api.pixellab.ai/mcp/images/1a9c3755-15f9-4d23-8146-3a22ab040cd1/download","","source_seed","used as the animation seed"
"Hwando","blade_flight","0","PixelLab animation prompt: animate blade_flight around a stable centered pivot","c75700ef-240d-4393-8345-b8f981da29bf","https://api.pixellab.ai/mcp/images/c75700ef-240d-4393-8345-b8f981da29bf/download?index=0","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_blade.png","adopted",""
"Hwando","blade_flight","1","PixelLab animation prompt: animate blade_flight around a stable centered pivot","c75700ef-240d-4393-8345-b8f981da29bf","https://api.pixellab.ai/mcp/images/c75700ef-240d-4393-8345-b8f981da29bf/download?index=1","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_blade_02.png","adopted",""
"Hwando","blade_flight","2","PixelLab animation prompt: animate blade_flight around a stable centered pivot","c75700ef-240d-4393-8345-b8f981da29bf","https://api.pixellab.ai/mcp/images/c75700ef-240d-4393-8345-b8f981da29bf/download?index=2","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_blade_03.png","adopted",""
"Hwando","blade_flight","3","PixelLab animation prompt: animate blade_flight around a stable centered pivot","c75700ef-240d-4393-8345-b8f981da29bf","https://api.pixellab.ai/mcp/images/c75700ef-240d-4393-8345-b8f981da29bf/download?index=3","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_blade_04.png","adopted",""
"Hwando","blade_flight","4","PixelLab animation prompt: animate blade_flight around a stable centered pivot","c75700ef-240d-4393-8345-b8f981da29bf","https://api.pixellab.ai/mcp/images/c75700ef-240d-4393-8345-b8f981da29bf/download?index=4","","rejected","extra generated frame not adopted"
"Hwando","return_afterimage","seed","PixelLab seed prompt: return_afterimage; Joseon folk-fantasy pixel art VFX; transparent; crisp hard pixels; one isolated centered asset; high top-down mobile readability","0edcc192-800b-4a43-b891-39970610a51a","https://api.pixellab.ai/mcp/images/0edcc192-800b-4a43-b891-39970610a51a/download","","source_seed","used as the animation seed"
"Hwando","return_afterimage","0","PixelLab animation prompt: animate return_afterimage around a stable centered pivot","3a160fed-bb16-42da-9ab2-1b708e63bcc5","https://api.pixellab.ai/mcp/images/3a160fed-bb16-42da-9ab2-1b708e63bcc5/download?index=0","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_afterimage.png","adopted",""
"Hwando","return_afterimage","1","PixelLab animation prompt: animate return_afterimage around a stable centered pivot","3a160fed-bb16-42da-9ab2-1b708e63bcc5","https://api.pixellab.ai/mcp/images/3a160fed-bb16-42da-9ab2-1b708e63bcc5/download?index=1","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_afterimage_02.png","adopted",""
"Hwando","return_afterimage","2","PixelLab animation prompt: animate return_afterimage around a stable centered pivot","3a160fed-bb16-42da-9ab2-1b708e63bcc5","https://api.pixellab.ai/mcp/images/3a160fed-bb16-42da-9ab2-1b708e63bcc5/download?index=2","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_afterimage_03.png","adopted",""
"Hwando","return_afterimage","3","PixelLab animation prompt: animate return_afterimage around a stable centered pivot","3a160fed-bb16-42da-9ab2-1b708e63bcc5","https://api.pixellab.ai/mcp/images/3a160fed-bb16-42da-9ab2-1b708e63bcc5/download?index=3","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_afterimage_04.png","adopted",""
"Hwando","return_afterimage","4","PixelLab animation prompt: animate return_afterimage around a stable centered pivot","3a160fed-bb16-42da-9ab2-1b708e63bcc5","https://api.pixellab.ai/mcp/images/3a160fed-bb16-42da-9ab2-1b708e63bcc5/download?index=4","","rejected","extra generated frame not adopted"
"Hwando","contact_spark","seed","PixelLab seed prompt: contact_spark; Joseon folk-fantasy pixel art VFX; transparent; crisp hard pixels; one isolated centered asset; high top-down mobile readability","1a135192-c196-48cd-95c7-fe1e8d833a95","https://api.pixellab.ai/mcp/images/1a135192-c196-48cd-95c7-fe1e8d833a95/download","","source_seed","used as the animation seed"
"Hwando","contact_spark","0","PixelLab animation prompt: animate contact_spark around a stable centered pivot","d621c75b-f94b-4b57-8531-83718a46897a","https://api.pixellab.ai/mcp/images/d621c75b-f94b-4b57-8531-83718a46897a/download?index=0","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_contact_spark.png","adopted",""
"Hwando","contact_spark","1","PixelLab animation prompt: animate contact_spark around a stable centered pivot","d621c75b-f94b-4b57-8531-83718a46897a","https://api.pixellab.ai/mcp/images/d621c75b-f94b-4b57-8531-83718a46897a/download?index=1","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_contact_spark_02.png","adopted",""
"Hwando","contact_spark","2","PixelLab animation prompt: animate contact_spark around a stable centered pivot","d621c75b-f94b-4b57-8531-83718a46897a","https://api.pixellab.ai/mcp/images/d621c75b-f94b-4b57-8531-83718a46897a/download?index=2","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_contact_spark_03.png","adopted",""
"Hwando","contact_spark","3","PixelLab animation prompt: animate contact_spark around a stable centered pivot","d621c75b-f94b-4b57-8531-83718a46897a","https://api.pixellab.ai/mcp/images/d621c75b-f94b-4b57-8531-83718a46897a/download?index=3","Assets/JoseonHunter/Art/Weapons/Runtime/Polish/Hwando/hwando_contact_spark_04.png","adopted",""
"Hwando","contact_spark","4","PixelLab animation prompt: animate contact_spark around a stable centered pivot","d621c75b-f94b-4b57-8531-83718a46897a","https://api.pixellab.ai/mcp/images/d621c75b-f94b-4b57-8531-83718a46897a/download?index=4","","rejected","extra generated frame not adopted"
"Gakgung","draw_glint","seed","PixelLab seed prompt: draw_glint; Joseon folk-fantasy pixel art VFX; transparent; crisp hard pixels; one isolated centered asset; high top-down mobile readability","9413f640-6d07-4862-b1ad-535751b95d37","https://api.pixellab.ai/mcp/images/9413f640-6d07-4862-b1ad-535751b95d37/download","","source_seed","used as the animation seed"
