asset_id,runtime_path,category,acquisition_method,creator_or_vendor,provider_product_model,created_or_purchased_at,source_url,terms_or_license_name,terms_checked_at,evidence_path,source_file_sha256,prompt_path,input_rights_confirmed,human_edits,similarity_reviewed,trademark_reviewed,credit_required,credit_text,status,reviewer,reviewed_at,notes
mannequin_production_kit,Assets/JoseonHunter/Art/Characters/Runtime/mannequin.png,character_production_kit,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-26,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-26,ArtSource/Pixel/Characters/mannequin/mannequin-v1-imagegen-chromakey.png,F83DB33DED2B219E066284C1662A72273AE12596ED643B345DA8556EF2E9ADE5,ArtSource/Pixel/Characters/mannequin/manifest.json,true,imagegen chroma-key removal; deterministic 384x448 pixel-correct layer sheets; nearest-neighbor preview,true,true,false,,approved,Codex,2026-07-26,original-no-SPUM; generated source is mannequin-v1-imagegen-chromakey.png; alpha derivative is mannequin-v1-imagegen-alpha.png; production sheets were pixel-corrected from visual direction; runtime-sha256=0458bc6c5cc95ca21555db72ed37ae33dc52b136ad0a20a8124db93c22476a67
exorcist_swordswoman_static_player,assets/images/player/exorcist_swordswoman_static_64.png,player_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-19,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-19,docs/assets/prompts/exorcist-swordswoman-static-player.md,8C39A9FD847EA9373FF0F24FD8ABDC376AE2D33ABDE7F5A4CA41E172CF59EF68,docs/assets/prompts/exorcist-swordswoman-static-player.md,true,chroma-key removal and proportional 64x64 RGBA normalization,true,true,false,,approved,Codex,2026-07-19,runtime-sha256=A3878148F05B966A2B18F004826B5B506872C5D5FDA11B2EC96D8C4D3F9AD80E
rookie_constable_player_animation,assets/images/player/rookie_constable_player_32.png,player_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/rookie-constable-player-sheet.md,596CF60C55ACBAF6D8E20BE360335964D7750B915897A0DC31CBC7158AD3A02B,docs/assets/prompts/rookie-constable-player-sheet.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=191F755810DC416C99667D6C980E7A4B196131543C7D014298A55DE335CFDD1B
plague_rat_swarm_animation,assets/images/monsters/plague_rat_swarm_24.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,E9B09D66F762D62CF3F8AF0B785A728D4BD582C015434DEAA071D6558B6744AD,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=45ACE858C760117F85FFC786B375F363114E92C4BA5A4C6542C114479F0276D4
bandit_animation,assets/images/monsters/bandit_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,870846BFB6D76D6ED89B9D3563404E541475941B823B5868130743F23DFBCD83,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=B2650CDAD76962CCE5994167A1F93BA4440E02D0BE258E2B63DDF46B99046871
dokkaebi_animation,assets/images/monsters/dokkaebi_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,BC928B37D56C644FFB7DA340B7AE93E7B8FC72FBBE8BA140A7633F5B091BAD79,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=5118328DE5EBC665D5F1B42418FAF1F5DE0F8C5B60C3BD17CA336D4026F6E665
vengeful_spirit_animation,assets/images/monsters/vengeful_spirit_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,BE4D5EC34D94569C118711A87913CFD2D67B5B2584EED20585FE11039E146472,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=F0D91CCD8461DBA3090E33F3D004EC1F73CCED8E31B2DB9D8B04CDC11ADF0246
fallen_general_animation,assets/images/monsters/fallen_general_64.png,boss_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/fallen-general-boss-sheet.md,0AD26860047A09DD0E769E4FE88F03129D0F9C88D9547301581E8D340DE6A3E4,docs/assets/prompts/fallen-general-boss-sheet.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=237680964DAAD4DCDABCB52A56CE10CC2736F80FC835698CF98FEEA1CA50A76F
hwando_release_windup,assets/images/vfx/hwando/hwando_windup_128.png,combat_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-25,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-25,docs/assets/prompts/hwando-release-vfx.md,FB784F3156D9B1F7B84C388B14BACB90238DEB86CAF35C555B3D591ABADB8665,docs/assets/prompts/hwando-release-vfx.md,true,chroma-key removal equal-cell crop and proportional 128px normalization,true,true,false,,approved,Codex,2026-07-25,runtime-sha256=A100734EB8A3EB88817315BABA437849027DA9A540206D53DF64280E51656341
hwando_release_strike,assets/images/vfx/hwando/hwando_strike_128.png,combat_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-25,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-25,docs/assets/prompts/hwando-release-vfx.md,8820420752CB3E90815604E51D04490337DE91A9A193D437F79545DCD3F18B56,docs/assets/prompts/hwando-release-vfx.md,true,chroma-key removal equal-cell crop and proportional 128px normalization,true,true,false,,approved,Codex,2026-07-25,runtime-sha256=13C6094308DD458BA35558127AC9B6537B65032B203E89687125DECE73AB36A5
