timestamp,job_id,tool,prompt_revision,cost,status,remaining_generations,asset_path
2026-07-27T23:47:00+09:00,,get_balance,weapon-style-lock-v1,0,baseline_active_tier1,2000,
2026-07-27T23:48:00+09:00,a7953428-b82b-4314-a8d7-cd67318ba295,create_image_pixen,weapon-style-lock-v1,1,rejected_opaque_tile_board,1999,
2026-07-27T23:50:00+09:00,2af2757c-f8d8-45f0-acec-0301842139b1,create_image_pixen,weapon-style-lock-v2,1,approved_preflight_pass,1998,ArtSource/Pixel/Weapons/style-lock/style-lock.png
2026-07-28T00:10:00+09:00,a97890cc-e62f-43a4-ac4e-352648187fea,create_image_pixflux,hwando-representative-v1,1,rejected_sheathed,1994,
2026-07-28T00:10:00+09:00,026f2ce5-5184-4ea0-b0bb-c863da91b413,create_image_pixflux,gakgung-representative-v1,1,approved,1994,ArtSource/Pixel/Weapons/gakgung_shot/representative.png
2026-07-28T00:10:00+09:00,20dd3148-daa9-4906-bfd6-d641c47359f4,create_image_pixflux,talisman-representative-v1,1,rejected_fragmented,1994,
2026-07-28T00:10:00+09:00,b06cca85-b167-4640-9760-7799d03e352c,create_image_pixflux,bomb-representative-v1,1,approved,1994,ArtSource/Pixel/Weapons/thunder_crash_bomb/representative.png
2026-07-28T00:20:00+09:00,2cfae8fb-ec5e-47de-9cca-af109e386147,create_image_pixflux,jangseung-representative-v1,1,approved,1990,ArtSource/Pixel/Weapons/jangseung_ward/representative.png
2026-07-28T00:20:00+09:00,fc5974e8-2c52-4c5d-a97b-412b3781ffc1,create_image_pixflux,singijeon-representative-v1,1,approved,1990,ArtSource/Pixel/Weapons/singijeon_volley/representative.png
2026-07-28T00:20:00+09:00,223c7eca-9326-4917-8714-bf35df1df77d,create_image_pixflux,frost-representative-v1,1,approved,1990,ArtSource/Pixel/Weapons/frost_flask/representative.png
2026-07-28T00:20:00+09:00,ab8a7271-507b-41d3-ae51-123ae4d5c174,create_image_pixflux,fan-representative-v1,1,approved,1990,ArtSource/Pixel/Weapons/wind_thunder_fan/representative.png
2026-07-28T00:30:00+09:00,15e0a20a-11e7-40b7-8cc5-fe4efa4dabde,create_image_pixflux,hwando-representative-v2,1,approved,1988,ArtSource/Pixel/Weapons/hwando_flying_blade/representative.png
2026-07-28T00:30:00+09:00,d59151e4-3e52-48b5-ac50-1c637c7829e8,create_image_pixflux,talisman-representative-v2,1,approved,1988,ArtSource/Pixel/Weapons/talisman_throw/representative.png
2026-07-28T00:45:00+09:00,c9652a97-25ff-42b7-ad6a-94c223deaa89,create_image_pixflux,hwando-secondary-v1,1,rejected_human_figure,1984,
2026-07-28T00:45:00+09:00,b6a3e098-60b1-4323-95c9-5385c937a9dc,create_image_pixflux,gakgung-secondary-v1,1,approved,1984,ArtSource/Pixel/Weapons/gakgung_shot/secondary-parts.png
2026-07-28T00:45:00+09:00,490567b7-2c0d-443a-9e4b-19fc9536350a,create_image_pixflux,talisman-secondary-v1,1,approved,1984,ArtSource/Pixel/Weapons/talisman_throw/secondary-parts.png
2026-07-28T00:45:00+09:00,0c8c9ee0-7043-4654-9344-f81944eff6c1,create_image_pixflux,bomb-secondary-v1,1,approved,1984,ArtSource/Pixel/Weapons/thunder_crash_bomb/secondary-parts.png
2026-07-28T01:00:00+09:00,1a4a83b0-d984-48f0-aaa7-f04681ab002f,create_image_pixflux,jangseung-secondary-v1,1,rejected_ui_panel_shape,1980,
2026-07-28T01:00:00+09:00,6667c65b-6166-47e7-a0ce-b7fa845de339,create_image_pixflux,singijeon-secondary-v1,1,approved,1980,ArtSource/Pixel/Weapons/singijeon_volley/secondary-parts.png
2026-07-28T01:00:00+09:00,4c2dbab8-9f76-48dd-bb16-2c1f399ee44d,create_image_pixflux,frost-secondary-v1,1,approved,1980,ArtSource/Pixel/Weapons/frost_flask/secondary-parts.png
2026-07-28T01:00:00+09:00,a302b4e8-33e5-4602-bad1-e988314f8926,create_image_pixflux,fan-secondary-v1,1,rejected_wrong_subject,1980,
2026-07-28T01:20:00+09:00,4fe1f676-2647-40b0-9e80-dfe4b83b08a2,create_image_pixen,hwando-icon-v1,1,approved,1976,ArtSource/Pixel/Weapons/hwando_flying_blade/icon.png
2026-07-28T01:20:00+09:00,bd96f082-b0c1-4f0d-a231-a1d94eff4ac8,create_image_pixen,gakgung-icon-v1,1,approved,1976,ArtSource/Pixel/Weapons/gakgung_shot/icon.png
2026-07-28T01:20:00+09:00,51cbcd64-fc32-4426-9cb7-08a3a3774333,create_image_pixen,talisman-icon-v1,1,approved,1976,ArtSource/Pixel/Weapons/talisman_throw/icon.png
2026-07-28T01:20:00+09:00,29da7b82-edba-49d2-ab2b-32eded2c7706,create_image_pixen,bomb-icon-v1,1,approved,1976,ArtSource/Pixel/Weapons/thunder_crash_bomb/icon.png
2026-07-28T01:35:00+09:00,477e7e7a-2693-4298-b267-596915d3841f,create_image_pixen,jangseung-icon-v1,1,approved,1972,ArtSource/Pixel/Weapons/jangseung_ward/icon.png
